,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Player,Tm,Cmp,Att,Cmp%,Yds,TD,Int,Cmp,Att,Cmp%,Yds,TD,Int,Link,-9999
Dak Prescott,DAL,61,104,58.65,403,27,2,27,52,51.92,112,18,2,All Dak Prescott red zone passing plays,PresDa01
Patrick Mahomes,KAN,57,92,61.96,324,24,2,32,50,64.00,126,22,0,All Patrick Mahomes red zone passing plays,MahoPa00
Jordan Love,GNB,50,93,53.76,298,24,3,20,37,54.05,130,18,0,All Jordan Love red zone passing plays,LoveJo03
Josh Allen,BUF,39,68,57.35,273,20,1,17,30,56.67,64,10,1,All Josh Allen red zone passing plays,AlleJo02
Russell Wilson,DEN,42,70,60.00,270,20,1,20,41,48.78,85,12,1,All Russell Wilson red zone passing plays,WilsRu00
Brock Purdy,SFO,45,64,70.31,343,19,2,15,25,60.00,84,11,1,All Brock Purdy red zone passing plays,PurdBr00
Jared Goff,DET,42,73,57.53,302,18,0,20,40,50.00,98,12,0,All Jared Goff red zone passing plays,GoffJa00
Matthew Stafford,LAR,38,78,48.72,226,17,0,23,45,51.11,83,15,0,All Matthew Stafford red zone passing plays,StafMa00
Tua Tagovailoa,MIA,42,69,60.87,218,17,1,22,46,47.83,74,14,1,All Tua Tagovailoa red zone passing plays,TagoTu00
Derek Carr,NOR,35,68,51.47,243,17,1,15,34,44.12,75,13,0,All Derek Carr red zone passing plays,CarrDe02
Geno Smith,SEA,28,67,41.79,222,16,2,12,25,48.00,60,11,0,All Geno Smith red zone passing plays,SmitGe00
Lamar Jackson,BAL,41,61,67.21,252,16,2,18,28,64.29,97,11,1,All Lamar Jackson red zone passing plays,JackLa00
Justin Herbert,LAC,37,63,58.73,186,15,1,19,39,48.72,69,12,1,All Justin Herbert red zone passing plays,HerbJu00
C.J. Stroud,HOU,28,58,48.28,191,15,2,14,30,46.67,51,10,0,All C.J. Stroud red zone passing plays,StroCJ00
Baker Mayfield,TAM,30,60,50.00,179,14,1,14,30,46.67,49,11,1,All Baker Mayfield red zone passing plays,MayfBa00
Sam Howell,WAS,30,60,50.00,173,13,3,13,31,41.94,58,11,1,All Sam Howell red zone passing plays,HoweSa00
Jalen Hurts,PHI,30,50,60.00,212,13,0,9,19,47.37,47,8,0,All Jalen Hurts red zone passing plays,HurtJa00
Trevor Lawrence,JAX,28,56,50.00,214,12,1,11,24,45.83,56,7,1,All Trevor Lawrence red zone passing plays,LawrTr00
Joe Burrow,CIN,31,46,67.39,172,11,2,16,26,61.54,60,10,0,All Joe Burrow red zone passing plays,BurrJo01
Joshua Dobbs,2TM,29,48,60.42,150,11,1,12,15,80.00,46,8,0,All Joshua Dobbs red zone passing plays,DobbJo00
Bryce Young,CAR,19,39,48.72,109,11,0,11,23,47.83,52,9,0,All Bryce Young red zone passing plays,YounBr01
Gardner Minshew,IND,30,58,51.72,218,10,1,11,26,42.31,46,6,0,All Gardner Minshew red zone passing plays,MinsGa00
Kirk Cousins,MIN,22,45,48.89,141,10,3,13,27,48.15,71,10,2,All Kirk Cousins red zone passing plays,CousKi00
Mac Jones,NWE,18,27,66.67,133,8,1,7,12,58.33,27,5,0,All Mac Jones red zone passing plays,JoneMa05
Kyler Murray,ARI,17,28,60.71,115,8,0,8,17,47.06,44,7,0,All Kyler Murray red zone passing plays,MurrKy00
Jake Browning,CIN,20,30,66.67,142,8,2,8,12,66.67,37,5,0,All Jake Browning red zone passing plays,BrowJa08
Desmond Ridder,ATL,29,47,61.70,167,8,3,11,23,47.83,35,5,2,All Desmond Ridder red zone passing plays,RiddDe00
Justin Fields,CHI,24,47,51.06,116,8,1,13,25,52.00,37,7,0,All Justin Fields red zone passing plays,FielJu00
Aidan O'Connell,LVR,30,45,66.67,172,7,1,12,18,66.67,57,5,1,All Aidan O'Connell red zone passing plays,OConAi00
Zach Wilson,NYJ,16,32,50.00,100,6,0,9,17,52.94,44,5,0,All Zach Wilson red zone passing plays,WilsZa00
Jimmy Garoppolo,LVR,12,21,57.14,79,6,2,7,14,50.00,34,4,1,All Jimmy Garoppolo red zone passing plays,GaroJi00
Tommy DeVito,NYG,9,15,60.00,52,6,0,5,8,62.50,34,5,0,All Tommy DeVito red zone passing plays,DeViTo00
Deshaun Watson,CLE,12,16,75.00,74,6,0,6,7,85.71,27,4,0,All Deshaun Watson red zone passing plays,WatsDe00
Joe Flacco,CLE,14,26,53.85,79,5,1,5,11,45.45,32,5,0,All Joe Flacco red zone passing plays,FlacJo00
Bailey Zappe,NWE,8,9,88.89,74,5,0,1,1,100.00,8,1,0,All Bailey Zappe red zone passing plays,ZappBa00
Will Levis,TEN,7,20,35.00,46,4,1,3,12,25.00,8,3,0,All Will Levis red zone passing plays,LeviWi00
Kenny Pickett,PIT,14,32,43.75,74,3,0,6,12,50.00,12,2,0,All Kenny Pickett red zone passing plays,PickKe00
Tyson Bagent,CHI,10,17,58.82,80,3,0,3,6,50.00,16,2,0,All Tyson Bagent red zone passing plays,BageTy00
Nick Mullens,MIN,6,16,37.50,34,3,1,4,12,33.33,12,3,0,All Nick Mullens red zone passing plays,MullNi00
Ryan Tannehill,TEN,14,27,51.85,77,3,0,5,12,41.67,28,2,0,All Ryan Tannehill red zone passing plays,TannRy00
Taylor Heinicke,ATL,4,7,57.14,19,2,0,4,5,80.00,19,2,0,All Taylor Heinicke red zone passing plays,HeinTa00
Davis Mills,HOU,3,6,50.00,18,2,0,2,4,50.00,6,2,0,All Davis Mills red zone passing plays,MillDa02
Derrick Henry,TEN,2,3,66.67,14,2,0,1,1,100.00,2,1,0,All Derrick Henry red zone passing plays,HenrDe00
Jameis Winston,NOR,3,4,75.00,31,2,0,0,0,,0,0,0,All Jameis Winston red zone passing plays,WinsJa00
Jacoby Brissett,WAS,4,8,50.00,22,2,0,2,5,40.00,3,1,0,All Jacoby Brissett red zone passing plays,BrisJa00
Daniel Jones,NYG,7,12,58.33,45,2,1,1,5,20.00,9,1,1,All Daniel Jones red zone passing plays,JoneDa05
Tyler Huntley,BAL,4,7,57.14,37,2,0,2,4,50.00,6,1,0,All Tyler Huntley red zone passing plays,HuntTy01
Carson Wentz,LAR,3,3,100.00,30,2,0,1,1,100.00,8,1,0,All Carson Wentz red zone passing plays,WentCa00
Easton Stick,LAC,5,11,45.45,38,2,0,2,5,40.00,15,1,0,All Easton Stick red zone passing plays,SticEa00
Sam Darnold,SFO,5,11,45.45,39,2,1,2,5,40.00,11,1,0,All Sam Darnold red zone passing plays,DarnSa00
Mitchell Trubisky,PIT,3,4,75.00,7,2,0,3,3,100.00,7,2,0,All Mitchell Trubisky red zone passing plays,TrubMi00
Tyrod Taylor,NYG,3,13,23.08,36,2,1,0,4,.00,0,0,0,All Tyrod Taylor red zone passing plays,TaylTy00
Andy Dalton,CAR,1,1,100.00,15,1,0,0,0,,0,0,0,All Andy Dalton red zone passing plays,DaltAn00
Dorian Thompson-Robinson,CLE,3,15,20.00,17,1,1,1,7,14.29,2,1,0,All Dorian Thompson-Robinson red zone passing plays,ThomDo02
P.J. Walker,CLE,3,11,27.27,28,1,0,0,5,.00,0,0,0,All P.J. Walker red zone passing plays,WalkPh00
C.J. Beathard,JAX,3,10,30.00,10,1,0,2,8,25.00,2,1,0,All C.J. Beathard red zone passing plays,BeatC.00
Tim Boyle,NYJ,4,5,80.00,17,1,0,2,3,66.67,9,1,0,All Tim Boyle red zone passing plays,BoylTi00
Jerick McKinnon,KAN,1,1,100.00,4,1,0,1,1,100.00,4,1,0,All Jerick McKinnon red zone passing plays,McKiJe00
Devin Singletary,HOU,1,1,100.00,6,1,0,1,1,100.00,6,1,0,All Devin Singletary red zone passing plays,SingDe00
Jakobi Meyers,LVR,1,1,100.00,3,1,0,1,1,100.00,3,1,0,All Jakobi Meyers red zone passing plays,MeyeJa01
Marcus Mariota,PHI,1,3,33.33,16,1,0,0,0,,0,0,0,All Marcus Mariota red zone passing plays,MariMa01
Case Keenum,HOU,3,5,60.00,27,1,0,1,3,33.33,3,1,0,All Case Keenum red zone passing plays,KeenCa00
Taysom Hill,NOR,2,2,100.00,11,1,0,1,1,100.00,3,1,0,All Taysom Hill red zone passing plays,HillTa00
Anthony Richardson,IND,3,5,60.00,25,1,0,1,1,100.00,5,1,0,All Anthony Richardson red zone passing plays,RichAn03
Trevor Siemian,NYJ,7,17,41.18,42,1,1,5,14,35.71,23,1,1,All Trevor Siemian red zone passing plays,SiemTr00
Cooper Rush,DAL,1,1,100.00,-2,0,0,0,0,,0,0,0,All Cooper Rush red zone passing plays,RushCo00
Mason Rudolph,PIT,7,9,77.78,32,0,0,2,3,66.67,2,0,0,All Mason Rudolph red zone passing plays,RudoMa00
Kyle Trask,TAM,0,1,.00,0,0,0,0,1,.00,0,0,0,All Kyle Trask red zone passing plays,TrasKy00
Connor Heyward,PIT,0,1,.00,0,0,0,0,1,.00,0,0,0,All Connor Heyward red zone passing plays,HeywCo00
Blaine Gabbert,KAN,0,1,.00,0,0,0,0,1,.00,0,0,0,All Blaine Gabbert red zone passing plays,GabbBl00
Brian Hoyer,LVR,4,8,50.00,22,0,0,2,5,40.00,8,0,0,All Brian Hoyer red zone passing plays,HoyeBr00
Mike White,MIA,1,1,100.00,3,0,0,1,1,100.00,3,0,0,All Mike White red zone passing plays,WhitMi01
Dyami Brown,WAS,1,1,100.00,4,0,0,1,1,100.00,4,0,0,All Dyami Brown red zone passing plays,BrowDy00
Jaren Hall,MIN,2,3,66.67,13,0,0,1,2,50.00,4,0,0,All Jaren Hall red zone passing plays,HallJa00
Drew Lock,SEA,2,4,50.00,5,0,0,0,0,,0,0,0,All Drew Lock red zone passing plays,LockDr00
Jarrett Stidham,DEN,4,6,66.67,19,0,0,1,1,100.00,0,0,0,All Jarrett Stidham red zone passing plays,StidJa00
Jonnu Smith,ATL,0,1,.00,0,0,0,0,1,.00,0,0,0,All Jonnu Smith red zone passing plays,SmitJo01
