,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
CeeDee Lamb,DAL,31,17,54.84%,131,8,29.8%,17,8,47.06%,31,4,33.3%,All CeeDee Lamb red zone receiving plays,LambCe00
Davante Adams,LVR,29,16,55.17%,74,6,40.8%,15,10,66.67%,38,5,42.9%,All Davante Adams red zone receiving plays,AdamDa01
Calvin Ridley,JAX,26,9,34.62%,60,5,41.3%,13,5,38.46%,20,4,43.3%,All Calvin Ridley red zone receiving plays,RidlCa00
Tyreek Hill,MIA,24,15,62.50%,54,4,35.8%,16,8,50.00%,17,4,36.4%,All Tyreek Hill red zone receiving plays,HillTy00
Jake Ferguson,DAL,23,12,52.17%,94,5,22.1%,12,4,33.33%,12,3,23.5%,All Jake Ferguson red zone receiving plays,FergJa00
D.K. Metcalf,SEA,23,10,43.48%,79,6,35.4%,9,5,55.56%,28,5,37.5%,All D.K. Metcalf red zone receiving plays,MetcDK00
Amon-Ra St. Brown,DET,23,16,69.57%,107,5,35.4%,12,7,58.33%,35,3,34.3%,All Amon-Ra St. Brown red zone receiving plays,StxxAm00
Rashee Rice,KAN,22,16,72.73%,110,6,25.0%,11,8,72.73%,32,5,22.9%,All Rashee Rice red zone receiving plays,RiceRa01
Ja'Marr Chase,CIN,19,12,63.16%,68,4,25.7%,10,5,50.00%,13,3,27.0%,All Ja'Marr Chase red zone receiving plays,ChasJa00
Travis Kelce,KAN,19,13,68.42%,74,5,21.6%,10,6,60.00%,23,5,20.8%,All Travis Kelce red zone receiving plays,KelcTr00
Michael Pittman,IND,19,14,73.68%,102,2,32.2%,4,2,50.00%,14,2,16.0%,All Michael Pittman red zone receiving plays,PittMi01
Romeo Doubs,GNB,18,9,50.00%,66,7,20.0%,9,6,66.67%,34,6,24.3%,All Romeo Doubs red zone receiving plays,DoubRo00
Cooper Kupp,LAR,18,11,61.11%,68,4,24.7%,8,4,50.00%,11,3,19.5%,All Cooper Kupp red zone receiving plays,KuppCo00
DeAndre Hopkins,TEN,17,7,41.18%,55,4,36.2%,10,4,40.00%,19,3,43.5%,All DeAndre Hopkins red zone receiving plays,HopkDe00
David Njoku,CLE,17,8,47.06%,41,3,26.6%,10,3,30.00%,7,2,34.5%,All David Njoku red zone receiving plays,NjokDa00
Deebo Samuel,SFO,17,11,64.71%,92,3,24.3%,3,2,66.67%,11,1,11.5%,All Deebo Samuel red zone receiving plays,SamuDe00
Courtland Sutton,DEN,17,12,70.59%,101,8,26.2%,7,3,42.86%,18,3,20.0%,All Courtland Sutton red zone receiving plays,SuttCo00
Garrett Wilson,NYJ,17,9,52.94%,42,2,34.7%,11,5,45.45%,18,2,35.5%,All Garrett Wilson red zone receiving plays,WilsGa00
Chris Godwin,TAM,16,5,31.25%,33,1,27.1%,11,2,18.18%,10,1,37.9%,All Chris Godwin red zone receiving plays,GodwCh00
Drake London,ATL,16,10,62.50%,61,2,29.6%,8,4,50.00%,13,1,28.6%,All Drake London red zone receiving plays,LondDr00
Christian McCaffrey,SFO,16,12,75.00%,61,5,22.9%,8,6,75.00%,32,4,30.8%,All Christian McCaffrey red zone receiving plays,McCaCh01
Puka Nacua,LAR,16,9,56.25%,84,3,21.9%,8,4,50.00%,17,2,19.5%,All Puka Nacua red zone receiving plays,NacuPu00
Jordan Addison,MIN,15,7,46.67%,39,3,19.0%,9,4,44.44%,20,3,19.1%,All Jordan Addison red zone receiving plays,AddiJo00
A.J. Brown,PHI,15,9,60.00%,70,4,30.6%,7,3,42.86%,8,2,41.2%,All A.J. Brown red zone receiving plays,BrowAJ00
Nico Collins,HOU,15,9,60.00%,62,6,22.1%,9,5,55.56%,19,4,25.0%,All Nico Collins red zone receiving plays,CollNi00
Stefon Diggs,BUF,15,10,66.67%,90,6,24.2%,5,2,40.00%,7,1,18.5%,All Stefon Diggs red zone receiving plays,DiggSt00
Cole Kmet,CHI,15,11,73.33%,67,5,26.8%,6,5,83.33%,25,4,23.1%,All Cole Kmet red zone receiving plays,KmetCo00
Sam LaPorta,DET,15,11,73.33%,93,8,23.1%,10,7,70.00%,34,5,28.6%,All Sam LaPorta red zone receiving plays,LaPoSa01
Jakobi Meyers,LVR,15,11,73.33%,89,6,21.1%,9,6,66.67%,39,4,25.7%,All Jakobi Meyers red zone receiving plays,MeyeJa01
Curtis Samuel,WAS,15,7,46.67%,58,4,23.4%,7,3,42.86%,13,3,20.0%,All Curtis Samuel red zone receiving plays,SamuCu00
Mark Andrews,BAL,14,10,71.43%,77,6,21.9%,7,5,71.43%,22,4,22.6%,All Mark Andrews red zone receiving plays,AndrMa00
Mike Evans,TAM,14,5,35.71%,25,5,23.7%,8,4,50.00%,6,4,27.6%,All Mike Evans red zone receiving plays,EvanMi00
Jayden Reed,GNB,14,9,64.29%,80,5,15.6%,8,4,50.00%,33,4,21.6%,All Jayden Reed red zone receiving plays,ReedJa03
Adam Thielen,CAR,14,8,57.14%,57,4,38.9%,9,5,55.56%,27,3,40.9%,All Adam Thielen red zone receiving plays,ThieAd00
Amari Cooper,CLE,13,5,38.46%,43,2,20.3%,5,2,40.00%,13,1,17.2%,All Amari Cooper red zone receiving plays,CoopAm00
Zay Flowers,BAL,13,10,76.92%,30,3,20.3%,6,6,100.00%,25,3,19.4%,All Zay Flowers red zone receiving plays,FlowZa00
Joe Mixon,CIN,13,11,84.62%,65,3,17.6%,6,5,83.33%,27,3,16.2%,All Joe Mixon red zone receiving plays,MixoJo00
Elijah Moore,CLE,13,7,53.85%,40,2,20.3%,6,2,33.33%,18,2,20.7%,All Elijah Moore red zone receiving plays,MoorEl00
